Keyword,Total Item Count
Men,16
Women,115
Men's Rings,45
Women's Rings,43
Men's Earring,62
Women's Earring,60
Diamond,292
Men's Diamond,9
Women's Diamond,9
Silver,10
Men's Silver,4
Women's Silver,4
Necklaces,90
Men's Necklaces,0
Women's Necklaces,5
Bracelets,63
Men's Bracelets,N/A
Women's Bracelets,4
Pendant Sets,73
Men's Pendant Sets,69
Women's Pendant Sets,69
Necklace Sets,90
Men's Necklace Sets,71
Women's Necklace Sets,74
Bangles,12
Men's Bangles,N/A
Women's Bangles,0
Male's Bangles,0
Gold Coins,276
Head Jewellary,29
Brooches,7
