Keyword,Total Item Count
Men,728
Women,523
Male,2
Rings,2827
Men's Rings,215
Women's Rings,30
Male's Rings,224
Female's Rings,3081
Earring,2459
Men's Earring,N/A
Women's Earring,26
Male's Earring,174
Female's Earring,1
Diamond,6781
Men's Diamond,419
Women's Diamond,73
Male's Diamond,501
Female's Diamond,2
Silver,74
Men's Silver,1
Women's Silver,2
Male's Silver,17
Female's Silver,176
Necklaces,17
Men's Necklaces,1
Women's Necklaces,90
Male's Necklaces,79
Female's Necklaces,1
Bracelets,1
Men's Bracelets,108
Women's Bracelets,43
Male's Bracelets,43
Female's Bracelets,618
Pendant Sets,3
Men's Pendant Sets,2
Women's Pendant Sets,2
Male's Pendant Sets,3
Female's Pendant Sets,1100
Necklace Sets,31
Men's Necklace Sets,1639
Women's Necklace Sets,2
Male's Necklace Sets,4
Female's Necklace Sets,1007
Harams,13
Men's Harams,1
Women's Harams,2
Male's Harams,1
Female's Harams,133
Bangles,573
Men's Bangles,17
Women's Bangles,6
Male's Bangles,43
Female's Bangles,858
Accessories,112
Men's Accessorie,63
Women's Accessorie,62
Male's Accessorie,57
Female's Accessorie,65
Nose Pins,1
Men's Nose Pins,19
Women's Nose Pins,5
Male's Nose Pins,2
Female's Nose Pins,68
Solitaire,79
Men's Solitaire,3
Women's Solitaire,8
Male's Solitaire,12
Female's Solitaire,69
Gifts,2313
Men's Gifts,247
Women's Gifts,31
Male's Gifts,193
Female's Gifts,2416
Gold Coins,27
Men's Gold Coins,1
Women's Gold Coins,2
Male's Gold Coins,6
Female's Gold Coins,7160
